x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
1204.53;1618.06;0.544171;4.25969;0.00274347;0.00101857;-0.00113347;0.00330529;0.000456737;1.00293;0.00224416;-0.00227246;0.997761;0.0282154;0.981352;1;3;1
1227.53;1618.06;0.579038;4.43542;0.00164817;0.0017327;0.000304808;0.00199816;0.00138271;1.0015;0.0070237;-0.00998516;0.998874;0.0250037;0.981859;1;3;1
1250.53;1618.06;0.618472;4.62549;-0.00055219;-0.000410634;0.00142287;0.000943215;-0.00190604;1.00432;0.00713033;-0.0128892;0.997476;0.0249208;0.981532;1;3;1
1273.53;1618.06;0.55254;4.75206;-0.0028474;-0.0046114;-0.00258187;-0.00100104;-0.00645776;0.984641;0.0107432;0.00783659;0.994187;0.0315775;0.979012;1;3;1
31.5305;1595.06;1.25757;-6.03639;0.00208872;-0.000692644;0.000557306;0.00219623;-0.000800156;1.00259;0.000346629;-0.00967227;0.994908;0.0313053;0.975993;1;3;1
54.5305;1595.06;1.305;-5.87572;0.00128722;-0.00217466;-0.000336713;0.00131967;-0.00220711;1.00002;0.00366906;-0.00686122;0.992159;0.0311681;0.954302;1;3;1
77.5306;1595.06;1.31585;-5.75071;-0.00279375;-0.00261658;0.00127748;-0.00142461;-0.00398571;0.991594;0.00340726;-0.0170307;0.995056;0.0291682;0.96757;1;3;1
100.531;1595.06;1.17439;-5.45653;-0.00485823;-0.00309182;-0.000500337;-0.00295995;-0.00499011;0.99596;0.0134899;-0.00644597;0.999707;0.02393;0.987508;1;3;1
123.531;1595.06;1.08955;-5.29388;-0.00300383;-0.00182848;-0.000231221;-0.00178463;-0.00304768;1.00125;0.00378129;-0.00847162;0.995274;0.0244825;0.985352;1;3;1
146.531;1595.06;1.03479;-5.12246;-0.00277806;-0.00352452;0.00148521;-0.0016199;-0.00468268;0.994572;-0.000772722;-0.00727491;0.993039;0.0257383;0.982461;1;3;1
169.531;1595.06;0.959569;-4.86427;-0.00168834;-0.00223592;0.00156201;-0.000376314;-0.00354795;0.998545;0.00586966;-0.0109851;1.0005;0.0258272;0.984464;1;2;1
192.531;1595.06;0.955218;-4.71141;-0.00174448;-0.00162215;0.000620659;-0.00105965;-0.00230698;0.996776;0.00166778;-0.00549903;0.995898;0.0216564;0.991693;1;3;1
215.531;1595.06;0.878211;-4.55501;-0.0031989;-0.00179284;0.00138212;-0.000945221;-0.00404652;0.996591;0.00982698;-0.0135996;0.993434;0.0229639;0.98412;1;3;1
238.531;1595.06;0.805221;-4.22204;-0.00123985;-0.00301664;0.00212959;0.000179224;-0.00443571;0.998898;0.0051521;-0.00485137;0.997399;0.0268764;0.984962;1;3;1
261.531;1595.06;0.818328;-4.04646;-0.00165891;-0.000848324;-0.00068173;-0.000460511;-0.00204673;0.992721;0.00991513;-0.00958989;1.00138;0.0211227;0.987115;1;3;1
284.531;1595.06;0.727956;-3.93588;-0.00244471;-0.00180509;-0.000135849;-0.00177744;-0.00247237;0.995767;0.0050722;-0.00626882;0.996307;0.0196434;0.98995;1;3;1
